GO_ID	term	annotated	significant_genes	expected	fold_enrichment	pvalue_weight01	pvalue_classic	padj_classic_BH	significant	n_higher_in_TB	n_lower_in_TB	genes_higher_in_TB	genes_lower_in_TB
GO:0006984	ER-nucleus signaling pathway	48	0	0.83	0	1	1	1	FALSE	0	0		
GO:0006991	response to sterol depletion	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0006995	cellular response to nitrogen starvation	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006999	nuclear pore organization	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0007000	nucleolus organization	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0007006	mitochondrial membrane organization	58	0	1	0	1	1	1	FALSE	0	0		
GO:0007007	inner mitochondrial membrane organization	44	0	0.76	0	1	1	1	FALSE	0	0		
GO:0007008	outer mitochondrial membrane organization	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0007019	microtubule depolymerization	36	0	0.62	0	1	1	1	FALSE	0	0		
GO:0007020	microtubule nucleation	51	0	0.88	0	1	1	1	FALSE	0	0		
GO:0007026	negative regulation of microtubule depolymerization	19	0	0.33	0	1	1	1	FALSE	0	0		
GO:0007031	peroxisome organization	35	0	0.6	0	1	1	1	FALSE	0	0		
GO:0007032	endosome organization	95	0	1.63	0	1	1	1	FALSE	0	0		
GO:0007035	vacuolar acidification	34	0	0.58	0	1	1	1	FALSE	0	0		
GO:0007039	protein catabolic process in the vacuole	23	0	0.4	0	1	1	1	FALSE	0	0		
GO:0007042	lysosomal lumen acidification	24	0	0.41	0	1	1	1	FALSE	0	0		
GO:0007062	sister chromatid cohesion	56	0	0.96	0	1	1	1	FALSE	0	0		
GO:0007063	regulation of sister chromatid cohesion	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0007064	mitotic sister chromatid cohesion	32	0	0.55	0	1	1	1	FALSE	0	0		
